name,lat,lng,covid
"H.No. 30, Gali No. 3, A-Block, Bhajanpura, Delhi including left & right house
and houses in front of them.",28.7021694,77.2623242,4229589081
"H.No. D-359 & two houses of H.No. D-360, Gali No.8, Bhajanpura, and
house in front of them.",28.701913,77.260919,4218962628
"House No. 53 to 61, Gali No.2 and House No.60B to 71, Gali No.3,
Baldev Park, Delhi",28.70174579999999,77.2978219,2228979743
"H.No. B-148 to B-140, B-131 to B-139, Derawal Nagar, Delhi",28.70129499999999,77.192122,2575648599
"House No. A-280, A-392 to A-396, Gali No-2, Meet Nagar, Delhi",28.7012416,77.2977299,2228979684
"
H.No.-C-9/270(all Floor), Yamuna Vihar, Delhi Including left & Right house",28.7009403,77.2721047,2229119144
"
House No. C-9 by 106, Yamuna Vihar, Delhi including left & right house",28.700836,77.27302,2229119142
"C-2, Block, Sultan Puri, Delhi",28.699948,77.0795802,1825143343
"Hno 151, 152 & 153, B4 Block , Yamuna Vihar Delhi",28.6997615,77.26604739999999,4221226121
"A-1/92, Sector-8, Rohini, near petrol pump Delhi",28.6994967,77.11865399999999,1825143343
"A-Block, Sultanpuri, Delhi (From House No. 80 to 115)",28.6992317,77.0703152,1825143343
"C-9, C-Block, Sultanpuri From H.No. 24 to H.No. 132 (Sunder Dairy Prajapati
Sweets to Tailor Shop)",28.6982025,77.07591939999999,1825143343
"C-9, C-Block, Sultanpuri From H.No. 24 to H.No. 132 (Sunder Dairy Prajapati
Sweets to Tailor Shop)",28.6982025,77.07591939999999,1825143343
K-Block Mangolpuri (From House No. 370 to 472),28.6969909,77.08323639999999,1825143343
"House No. C-12/548, Yamuna Vihar, Delhi including left & right and houses
in front of them",28.6968153,77.2799211,4221206401
"Gali no- 1 & 7, Block-D, Ashok Nagar Shahdara (Covering Hno D-619, D-703, D-705 & D-805)",28.6966068,77.2980596,4229891982
"House No. G-5/95, Gali No. 6, 5th Pusta, Sonia Vihar, Delhi including left &
right house and houses in front of them",28.6962631,77.2572106,3076601629
X-Block Mangolpuri (From House No. 168 to 366),28.6958531,77.0805496,1825589668
"House Nos. A/406, A406/5, A406/6 and the houses in the opposite line in
Gali no. -5, Gamri Extension Delhi",28.6957194,77.26099169999999,4230169869
"House Nos. A/406, A406/5, A406/6 and the houses in the opposite line in
Gali no. -5, Gamri Extension Delhi",28.6957194,77.26099169999999,4230169869
"Gali No.14, Block D-1, Ashok Nagar Shahdara (Covering H.No. 345, 347, 348
& 354)",28.6956784,77.2994144,2229118878
"F- Block, Mangolpuri from F-112 to F-430 to F-473",28.6952324,77.09637599999999,1825589668
"House No. 280 to 285 & 292 to 295, F-2 Block, Sunder Nagri, Delhi",28.694653,77.317233,4221545870
"House No. 221 to 224, F-2 Block, Sunder Nagri, Delhi",28.694653,77.317233,4221545870
"H.No.B-3/86 to B-3/95 & B-30/111 to B-3/125, the street,B-3 Block, Nand Nagri, Delhi",28.6946488,77.3120278,4221516188
H.No. 482 to 803 C-block Mangolpuri Delhi,28.693429,77.0888228,1825589668
E-Block Mangolpuri (From House No. 268 to 420),28.6922954,77.09163939999999,1825589668
A-Block Mangolpuri (From House No. 342 to 500),28.6922954,77.09163939999999,1825589668
"H.Nos. - E-7/335, E-7/336, E-7/337 & in front of these H.Nos. E-7/369, E-
7/370, 33- Foota Road, Nehru Vihar, Delhi.",28.6915712,77.2823914,4230071654
"H.Nos. - E-7/335, E-7/336, E-7/337 & in front of these H.Nos. E-7/369, E-
7/370, 33- Foota Road, Nehru Vihar, Delhi.",28.6915712,77.2823914,4230071654
"C-3 area, Ashok Vihar, Phase-II, Delhi (From flat/houses C-/12 to C-3/16)",28.6909791,77.17652389999999,916341236
"House No. 409 to 414, Janta Flats, GTB Enclave, Delhi",28.6901302,77.31269859999999,4223315489
"House No. 233 ABCD to 236 ABCD, GTB Enclave, Delhi",28.6896464,77.3119837,2228978833
"H.No. 127 to H.No. 132, Chander Lok Enclave, Shakur Pur, Delhi",28.6894074,77.13629240000002,1826045030
"T-Block, Mangolpuri, Delhi (From House No.815 to 920)",28.6894069,77.0805496,1826144557
"H.No. A-16 to A-22, Gali No. 2, Jagatpuri, Delhi",28.68898889999999,77.29971809999999,6455710495
"House No. A-1 to A-8 & A-25 to A-32, GTB Campus, Delhi",28.6887562,77.3063774,2228978807
"Police Colony, Ashok Vihar Delhi",28.6884233,77.1708039,916341360
"House No. 111 to 113, 125 to 127 & 140 Tahirpur Village, Delhi",28.6881799,77.3168434,3735583612
"B-Block Dilshad Colony in particular around entire Street existing Flats No. B-103, B-104 & B-106 (Affected area B-102 to B-108 in B-Block & E-108 to E-
117, E-Block)",28.6874247,77.324247,6588684132
"B-2/11, B-Block, Rana Pratap Bagh, Delhi
[Re-designed as mentioned above on 14.07.2020 :B-2/11 to B-2/18 and B-
3/17, B-Block, Rana Pratap Bagh]",28.6874216,77.1919915,3735775076
"B-2/11, B-Block, Rana Pratap Bagh, Delhi
[Re-designed as mentioned above on 14.07.2020 :B-2/11 to B-2/18 and B-
3/17, B-Block, Rana Pratap Bagh]",28.6874216,77.1919915,3735775076
"E-Pocket, GTB Enclave, Delhi",28.6870591,77.31054449999999,7628522976
"H.No. 127, 128, 142 & 165, C-3 Block, Street No. -3A, 3rd Pusta, Sonia Vihar,
Delhi",28.6870132,77.260398,4228016119
"H.No. 127, 128, 142 & 165, C-3 Block, Street No. -3A, 3rd Pusta, Sonia Vihar,
Delhi",28.6870132,77.260398,4228016119
"H.No. B-36(all floor), Gali No. 5, Bhajanpura, Delhi including left & right
house",28.68651729999999,77.26113790000001,4228065937
"Gali No. 15, Extn. 2D, Nangloi, Delhi-110041",28.6843532,77.0599294,1826144402
"H.No. 18, Ext. 2A Nangloi, Delhi",28.6843532,77.0599294,1826144402
"G-Block, Gulshan Park, Nangloi Delhi-110041",28.6837878,77.05241509999999,1826144402
"House No. 437 to 439 & 451 to 455, Tahirpur Village, Delhi",28.68340109999999,77.3132506,6749052439
"House No. 335 to 349, Tahirpur Village, Delhi",28.68340109999999,77.3132506,6749052439
"Jain Mandir Jhuggle (Entire area to be made), Near Mrignayni Chowk,
Dilshad Colony, Delhi",28.6828082,77.3121354,4087232487
"H.No. 48, Street No.7, Extn.-2B, Nangloi, Delhi",28.6821316,77.0587735,1826144402
"20A, Chajjuram Colony, Nangloi",28.6820444,77.0675607,1826144402
"H.No. 679 to 681 Bunkar Colony, Ashok Vihar, Delhi",28.6815313,77.1754541,916416341
"H.No. 233 to 236 Bunkar Colony, Ashok Vihar, Delhi",28.6815313,77.1754541,916416341
"UB Block, Jawahar Nagar, Delhi-110007",28.6813724,77.2056647,6725683202
"Flat No. 306, Rajendra Park, Nangloi, Delhi",28.6811724,77.0546474,1826144402
"House No. 67, Rajendra park, Nangloi, Delhi",28.6811724,77.0546474,1826144402
"Ram Nagar, Shahdara (Covering H.No 1/2425)",28.6808089,77.2948143,6431349601
"D-Block, Punjabi Basti, Peera Garhi, New Delhi",28.6795709,77.0960607,4233549899
"Entire Street existing House No. 126 to 175, H-Block, Old Seemapuri, Delhi",28.6792797,77.3286734,4221582630
"AB-10, Pkt-B, Mianwali Nagar, Delhi",28.6781787,77.08666459999999,4233549899
"H.No. 2287, 2288 & 2305, Gali No. 173, Ganesh Pura, Tri Nagar, Delhi",28.6775654,77.16217689999999,5767831091
"Plot No. 72, FFD, Block No.15, Extn.-2D, Nangloi, Delhi",28.676992,77.0574093,4233549899
"3488/1, Kala Bhawan, Malka Ganj(SM4)",28.6767388,77.20865289999999,4231908342
"H.No. 939 to H.No. 944, Punjabi Mohalla, Ghanta Ghar, Subzi Mandi, Delhi",28.67657569999999,77.2044762,4231882441
"H.No.640, Saini mohalla, Nangloi",28.6765108,77.06939799999999,4233549899
"Rehman Building, Near Sauchalaya, West Rohtash Nagar, (Covering Hno-79)",28.6762716,77.28841899999999,6488257229
Naveen Shahdara (K-40 to K-50 & K-30 to K-21),28.6761928,77.2828969,6476066693
"E-1/251, Shiv Ram Park, Nangloi, Delhi",28.6748695,77.06127169999999,4233549899
"2249/9, 3rd Floor, Shora Kothi (SM2)",28.67482009999999,77.20463029999999,4231882406
"2210, Shora Kothi & 2204, Shora Kothi (SM3)",28.67482009999999,77.20463029999999,4231882406
"M-342,311 Guru Harkishan Nagar, new Delh",28.6732,77.09280000000001,4233549899
"Shastri Nagar, Delhi-110052(A, B and E2 Blocks)",28.672573,77.17885299999999,3574223568
"H.No. 304 to H.No. 331, Tarun Enlcave, Pitampura Delhi
[Re-designed as mentioned above on 14.07.2020 : H.No. 130 to H.No. 340
Tarun Enlcave, Pitampura Delhi]",28.672317,77.092287,4233549899
"H.No. 304 to H.No. 331, Tarun Enlcave, Pitampura Delhi
[Re-designed as mentioned above on 14.07.2020 : H.No. 130 to H.No. 340
Tarun Enlcave, Pitampura Delhi]",28.672317,77.092287,4233549899
"Gali No-1, Pratap Nagar, Gulabi Bagh as Pratap Nagar containment Zone 2",28.6718738,77.194756,6013037494
"248, Bhera Enclave, Paschim Vihar, New Delhi",28.671569,77.0903513,4233724543
"H.no-852 to 865, Gali no-2, Jwala Nagar(Whole Gali), Delhi-110032",28.671195,77.29693329999999,5406967862
"Shakti Nagar, Delhi-110007(Bharat Nagar Road, Veer Banda Bairagi Marg,
Swami Vivekanand Marg)",28.6700398,77.1835174,915436769
"House No. 447, E-Block, Phase-II, Qutbapur, New Delhi",28.669687,77.3088784,5470026273
"5/4, Jaidev Park, East Punjabi Bagh",28.66938679999999,77.14959759999999,4235054437
"8649, Roshanara Road, Sabji Mandi, Delhi (SM5)",28.6688539,77.2048191,4984130236
"H.No 202 to H. No. 215, Vivekanand Puri",28.6685293,77.1844715,6013439931
"C-53 Adhyapak Nagar, Nangloi New delhi",28.6674321,77.0762778,4233724543
"879, Pocket-2, Paschim Puri, New Delhi",28.667285,77.116002,4233724543
"H.No. 13/441, Sunder Vihar, Paschim Vihar, New Delhi",28.6672698,77.0915378,4233724543
"D-5-173,174 &179B Kunwar Singh Nagar, New Delhi",28.6671086,77.04697399999999,4233724543
"E-37 Kunwar Singh Nagar, Nangloi, Delhi",28.6668298,77.04900409999999,4233724543
"D-91&197, Kunwar Singh Nagar, new Delhi",28.6668298,77.04900409999999,4233724543
"F-3031, Kunwar Singh Nagar Delhi",28.6668298,77.04900409999999,4233724543
"H.no-4/1836-1841, opposite side 4/1881-495, Gali no-4, Rama Block,
Bholanath Nagar, Delhi – 32",28.6665844,77.291156,4218898785
"House No. 164, 169, Bakkarwala, Delhi-110041",28.6665007,77.01637149999999,4233724543
"RZ-E-154, Nihal Vihar, New Delhi",28.6659388,77.07311419999999,2431986492
In and around area of E-58 & 64 Karampura,28.6655211,77.1529569,6636996149
In and around area of E-44 Karampura,28.6655211,77.1529569,6636996149
"In and around area of E-148 Karampura, Delhi",28.6649304,77.1455088,4235452418
"H.no-IX/772 to IX/769, Prem Gali, Gali no-2 E, Gandhi Nagar Delhi-110031",28.6648771,77.2584583,4229614627
"RZ-37, Baba Haridas Nagar, Jharoda Kalan, New Delhi-110072",28.6647661,76.9484624,2431986492
"G-42,41,30,34 Gali No-10, Shiv ram park, Nangloi, Delhi",28.6640467,77.0574129,2431986492
"Hno 49/1 to 41/2 and Hno B-6 to 41/1 B (Abhishek Overseas, Gali no. 1 & 2,
East Azad Nagar, Delhi",28.663155,77.2814605,4229557870
23/20 & 23/26 Moti Nagar,28.6630183,77.1383867,4235091226
"Gali no-9 & 10, Durgapuri Shahdara (Covering Hno-1449 & 1449-29/A)",28.6628634,77.2915731,4229438969
In and around of B-534 III Floor Sudarshan Park,28.6628131,77.1353251,6646102817
"H-26, H-24, H-48, H-43, JJ Colony Bakkarwala, Delhi-110041",28.6626181,77.014704,5717158380
"In and around area of 19 21C 3rd Floor, Moti Nagar, Delhi",28.6623452,77.14108089999999,6625576013
10 /18 Moti Nagar new Delhi,28.6618793,77.143778,6643297819
"7/15 & 7/19, New Moti Nagar, New Delhi",28.6617258,77.1420031,4235451641
"In and around area of F-182 Sudershan Park, Moti Nagar, Delhi",28.661515,77.13620600000002,6646102806
"Bara Hindu Rao 1( H.No. 6266 to H.No. 6170, Pakki Gali, Bara Main Market",28.6613574,77.2024306,943749412
"In and around area of 2117/1, Gali No. 7 Prem Nagar, Patel Nagar, Delhi",28.6609277,77.1606204,6384899238
"A-93, Meera Bagh, Pachim Vihar, New Delhi",28.6609094,77.0872754,5717158380
In and around area of A-135 Sudarshan Park,28.6605508,77.1333107,6618123004
"C-137, Kirti Nagar, New Delhi",28.660485,77.14103999999999,4235091203
"Bara Hindu Rao 2(H.No.3357 to 3522, Gali Sangtrashan in front of Allah Wali Masjid Pahari Dheeraj Road
H.No. 3464 Gali Thele wali",28.6603088,77.2068551,943749467
In and around area of B-19 New Moti Nagar,28.6602141,77.1420938,915232186
"Sadar Bazr2(H.No.-3862 to H.No.3865, Gali Barna, Sadar Bazar)",28.6585105,77.21273049999999,943749104
"Sadar Bazar3(H.No.2585 to H.No. 2589, Baghichi Ragunath Sadar Bazar)",28.6585105,77.21273049999999,943749104
"Sadar Bazar4(H.No.5255 to H.No. 5257, Sadar Thana road, Sadar Bazar)",28.6582181,77.2125748,943749104
"D-400, 409, 797,273 D-Block, Punjabi Basti, Peera Garhi, New Delhi",28.6581161,77.17978959999999,1645502390
"C-156,10,136, 142 Punjabi Basti, Peeragarhi Camp, New Delhi",28.6581161,77.17978959999999,1645502390
"H.No. B-7.20 to B-7/17 and B-6/19, Near Raghunath Mandir, Krishna Nagar,
Delhi",28.6579431,77.2778213,4229557817
"E-22, Chander Vihar, Nihal Vihar, Delhi",28.6574795,77.064527,2955345084
"4696/4, Gali No 11, Darya Ganj, Delhi",28.6573824,77.2120961,6720363066
"Bapa Nagar 1 (291,I Block, BAPA NAGAR)",28.65705549999999,77.1819981,943640673
"Sadar Bazar6(H.No.7283 to H.No.7284, Gali Gharayiya Quresh Nagar Sadar
Bazar)",28.6569038,77.21191739999999,1376300244
"House No. J-83 FF, Behind Moments Mall, Kriti Nagar, New Delhi",28.6568981,77.14656959999999,7104323986
"Bapa Nagar 8 (16/680,BAPA NAGAR)",28.6566954,77.1816145,943640673
In and around area of C-323 Khyala,28.6563648,77.0981743,2955345084
"H.no.-64 to H.No. 72 and H.no.-65/350/3, Village Ghondli, Krishna Nagar,
Delhi-51",28.6558409,77.280976,4229588409
"WZ-283 41 Vishnu Garden , New Delhi",28.6556,77.09953329999999,2955345084
In and around area of 21/13 Block 21 Opp Patel Nagar,28.6554182,77.16462,6640291018
"In and around area of 26/27 West Patel Nagar, Delhi",28.6554182,77.16462,6640291018
"Arjun Gali no-11,cAshok Nagar (covering E-256)",28.6549958,77.2936695,7218650625
"Bapa Nagar 4 (183,I BLOCK BAPA NAGAR)",28.6549947,77.1808679,309642524
"Bapa Nagar 7 (16/1373,E BAPA NAGAR)",28.6549947,77.1808679,309642524
"C-74, Kirti Nagar, New Delhi",28.6549351,77.1376196,6659848536
"DN1- HOUSE NUMBER 6467, GALI NUMBER 4, BLOCK 8, DEV NAGAR to HOUSE NUMBER 6517, GALI NUMBER 4, BLOCK 8, DEV NAGAR
[Re-demarcated- Dev Nagar, Karol Bagh (19.06.2020)]",28.6548701,77.1846149,6748887284
B-28 &29 Shivram Park Nangoli New Delhi,28.65478379999999,77.0521289,2955345084
In and around area of 28/63 West Patel Nagar,28.6547436,77.16490770000001,6659924739
Bapa Nagar 5 (16/1504-E BAPA NAGAR),28.6546681,77.18102449999999,309642524
"Sadar Bazar5(H.No.7772 to H.No.7774, Nawab Road Sadar Bazar)",28.6540228,77.2091557,1870091999
"D-44, Chander Vihar, Ranjit Vihar, Delhi",28.6532664,77.0718297,2955345084
"In and around area of 5/15 Upper Ground Floor, West Patel Nagar, Delhi",28.6531507,77.1622101,6769014803
"B-16/6, SF, Double Storey Ramesh Nagar, New Delhi",28.652746,77.13163,915274076
"A-18, Vishal Enclave, Opposite Rajouri Garden, New Delhi",28.6525728,77.1183137,5813444577
"H.No. 51 to 58, Street No. 4, Radhey Puri Extension-2, Krishna Nagar, Delhi-
110051",28.6525621,77.2896501,7679460914
"
House No. 2/10, Choodan Pana, Jharoda Kalan, Najafgarh, New Delhi",28.6525375,76.9504905,2955345084
"House No. 1C 49, Naamdhari Colony, Ramesh Nagar, Neww Delhi",28.6525149,77.1370127,2954561608
"H.no.221 to H.No.222, Gali Visheshwar Nath, Old Subzi Mandi, Delhi",28.6525107,77.2283592,965110925
Nabi Karim 2 (7072 House of Shakuntala Dabla to Community Toilet),28.65242289999999,77.2139292,1376300421
Nabi Karim 4 (Gali Behind Kalka Property Dealer to Till end of Gali. ),28.65242289999999,77.2139292,1376300421
Nabi Karim 6 (Sangam Tailor to 278 Ashok Basti),28.65242289999999,77.2139292,1376300421
Nabi Karim 7 (Shop Raunak Silai Machine to House A 519.),28.65242289999999,77.2139292,1376300421
In and around area of F-204 Vishnu Garden,28.6519345,77.0940718,2955345084
"H.No. 291 to H.No. 294 (front & back entry gate) (Total 28 Houses), Gali No.
16, Karkadooma Village, Delhi-110092",28.651658,77.30478300000001,7706913349
"E-158, Double Story, Ramesh Nagar, Delhi",28.65109,77.1326969,3239812665
"House No. 2/18, Ramesh Nagar, New Delhi",28.65109,77.1326969,3239812665
"In and around area of WZ-283/36, WZ-283/38 & WZ-283/39 Vishnu Garden,
Delhi",28.650532,77.10016999999999,6884267194
"H.No. 202, 205 to 213, Gali No.3, South Anarkali, Near-Som Bazar,
Delhi",28.6503376,77.2861288,7679473493
"Hno B-121 to H.No. B-139, Anand Vihar, Delhi -110092",28.650218,77.30270589999999,1863520442
"Hno C-69 to H.No. C-174, Anand Vihar, Delhi - 110092",28.650218,77.30270589999999,1863520442
In and around area of 29/113 West Patel Nagar,28.6497806,77.1654795,5265277786
"G-19 FF, Kirti Nagar New Delhi",28.6493776,77.1436998,6755731359
"WZ-203A Plot.403, Chand Nagar, new Delhi",28.6485532,77.09889369999999,6884267194
"RP1 - SHOP 2396/11, GALI NUMBER 11, AJMAL KHAN ROAD to SHOP 2435/11, GALI NUMBER 11, AJMAL KHAN ROAD
[Re-demarcated- Reigarpura, Karol Bagh (19.06.2020)]",28.647894,77.19654,4235017143
"A-57B, Guru Nanak Vihar, Chander Vihar, Delhi",28.6475806,77.0656001,6884267194
"G-9, Kirti Nagar, New Delhi",28.647249,77.144921,2681744680
"In and around area of Cottage No. 25, West Patel Nagar, Delhi",28.6462741,77.1676761,6385542272
"Sita Ram1 Beginning of Gali Katra Gokul, Shah end of gali Katra Gokul Shah",28.6460249,77.2299816,7469479237
In and around area of 25/11 East Patel Nagar,28.6453433,77.1695282,2397564940
"H.No. 198 to 207, Gagan Vihar, Delhi-110051",28.64514,77.29477399999999,4210654448
"B-4, Kirti Nagar, New Delhi",28.645086,77.14162,6645814607
"C-13, Kirti Nagar, New Delhi",28.6444277,77.1406022,6385213289
"37/6 to 37/26, East Patel Nagar, Delhi",28.64421,77.176343,268217546
C-12 Tilak Vihar to C-40 Tilak Vihar,28.6434499,77.0880876,6734744698
B-50 Tilak Vihar to B-84 Tilak Vihar,28.6432042,77.0890022,6734744698
"E-4 & E-16 Mukhram Garden, Tilak Nagar, New Delhi",28.6428676,77.09565669999999,6734744698
"F-4, Rajouri Garden, New Delhi",28.6428417,77.1217246,2432087749
"Chandni Mahal 2 (H. No.2221, Gali Dakotan, Turkman Gate to H. No.2229, Gali Dakotan, Turkman Gate)",28.6428246,77.2372822,938522437
"246/40 TO 246/48 AND 246/53 TO 246/80, GALI NO. 3, ALLAH COLONY, SCHOOL BLOCK, MANDAWALI, EAST DELHI",28.6426701,77.28398779999999,7655631165
"Old Rajinder Nagar(Shankar Marg, Chela Ram Road, Uttam Singh Narula
Marg,Salwan Marg.)",28.6419864,77.1793947,6438462316
C-57 Tilak Vihar to C-94 Tilak Vihar,28.641861,77.0893085,6734744698
"E-20, Preet Vihar, Delhi-110092",28.6416215,77.29590309999999,7655633875
"Chandni Mahal 1 (H. No.89, Chatta Lal Miyan to H. No.90, Chatta Lal Miyan)",28.6414595,77.23800059999999,291542978
"B-4 / 4 Rajouri Garden, New Delhi",28.6412089,77.1224385,6385280673
"
Area near Shiv Mandir, Valmiki Basti, Village Jhatikara, New Delhi",28.6406678,77.20299039999999,4235030397
"H.No.A-9/2 to H.No. A-14 & H.No. A1/24 to H.No. A-21, Gali No.4, Shashi
Garden, Delhi",28.6400544,77.2820837,7655631158
"H.No. 177 to H.No. 191, Gali No.4, Block-18, Kalyanpuri, Delhi",28.6400544,77.2820813,7655631158
"H.No. F-39 to F-54, F-55 to F-240, Gali No.-12, Mangal Bazar, Near-Patel
Park, Laxmi Nagar, Delhi.",28.639686,77.28171329999999,6482584906
In and around area of 17/65 Tilak Nagar,28.6390693,77.0867741,6734744698
In and around area of 8/8 Tilak Nagar,28.6389315,77.08668109999999,6734744698
"A-28, Deep encalve Part II, Vikaspuri, New Delhi (West District Health Wise & South West Revenue Wise)",28.6386438,77.07206,6734744698
"A-28, Deep encalve Part II, Vikaspuri, New Delhi (West District Health Wise & South West Revenue Wise)",28.6386438,77.07206,6734744698
"S-4 Pandav Nagar, S1 to S5A & B, S5 to S27, Delhi-110092",28.6371726,77.2756193,3870388644
"In and around area of S-2, 103 SF Old Mahavir Nagar, Delhi",28.6371353,77.0845064,6734744698
In and around area of S-3/13 S F Old mahavir Nagar,28.6371353,77.0845064,6734744698
"House No. 1201, Block-1, Subhash Nagar, New delhi",28.6369703,77.120154,6438487773
